totalemoji;condition;emoji;errors;participant;category;dummy
1;apple;dog;-1;AAT10;Animals & Nature;emoji
1;apple;penguin;-1;AFM03;Animals & Nature;emoji
1;apple;penguin;-1;CBW06;Animals & Nature;emoji
1;apple;tea;3;DKL02;Food & Drink;emoji
1;apple;computer;-1;EJL09;Objects;emoji
1;apple;cherry_blossom;3;EMM05;Animals & Nature;emoji
2;apple;revolving_hearts;1.5;IIS07;Symbols;emoji
2;apple;diamond;1.5;IIS07;Symbols;emoji
2;apple;camel;-1;KBM06;Animals & Nature;emoji
2;apple;tea;-1;KBM06;Food & Drink;emoji
1;apple;camel;-1;LDM06;Animals & Nature;emoji
1;apple;tropical_fish;-1;LLG01;Animals & Nature;emoji
1;apple;grin;-1;MAM03;Smileys & People;emoji
1;apple;cherry_blossom;2;MKM11;Animals & Nature;emoji
1;apple;flushed;-1;RHM01;Smileys & People;emoji
2;apple;cyclone;0.5;RKI01;Symbols;emoji
2;apple;cherry_blossom;0.5;RKI01;Animals & Nature;emoji
1;apple;cyclone;3;SFM04;Symbols;emoji
1;apple;bird;3;SGH04;Animals & Nature;emoji
2;apple;camel;0.5;SRM04;Animals & Nature;emoji
2;apple;camel;0.5;SRM04;Animals & Nature;emoji
1;apple;dog;-1;TLF01;Animals & Nature;emoji
1;apple;penguin;-1;UJM07;Animals & Nature;emoji
2;apple;tea;-1;VGM12;Food & Drink;emoji
2;apple;grin;-1;VGM12;Smileys & People;emoji
1;google;white_check_mark;1;AJM05;Symbols;emoji
1;google;white_check_mark;3;APM08;Symbols;emoji
1;google;camel;-1;ASH05;Animals & Nature;emoji
2;google;penguin;1.5;ASI07;Animals & Nature;emoji
2;google;diamond;1.5;ASI07;Symbols;emoji
1;google;smile;3;BEM10;Smileys & People;emoji
1;google;blush;1;BMD03;Smileys & People;emoji
1;google;heartpulse;-1;BMS06;Symbols;emoji
1;google;poultry_leg;1;BRD10;Food & Drink;emoji
1;google;headphones;1;CMM12;Objects;emoji
1;google;grin;-1;EAM05;Smileys & People;emoji
1;google;diamond;3;GGF02;Symbols;emoji
1;google;sweat_smile;2;GJL12;Smileys & People;emoji
1;google;poultry_leg;-1;IFM08;Food & Drink;emoji
1;google;desktop_computer;3;IJE09;Objects;emoji
1;google;lower_left_fountain_pen;-1;IRI11;Objects;emoji
1;google;sweat_smile;-1;PSA02;Smileys & People;emoji
1;google;dog;-1;RKT08;Animals & Nature;emoji
1;google;penguin;3;SCM09;Animals & Nature;emoji
1;google;cherry_blossom;-1;SHM05;Animals & Nature;emoji