Z_id;D_Gender;D_Age;D_Education;D_ProlificEducation;D_Employment;D_Student;D_ComputerScienceBackground;D_Programming;D_Nation;C_Length;C_Strength;C_Upper;C_Digits;C_Symbols;C_ClassDelta;B5_Neuroticism;B5_Extraversion;B5_Openness;B5_Agreeableness;B5_Conscientiousness;SeBIS_Securement;SeBIS_Passwords;SeBIS_Awareness;SeBIS_Updating;GDMS_Rational;GDMS_Intuitive;GDMS_Dependent;GDMS_Avoidant;GDMS_Spontaneous
3;Female;29;Bachelor's degree;Undergraduate degree (BA/BSc/other);Health Care and Social Assistance;No;No;No;United States;29;35;29;26;26;57;18;39;47;47;40;12;14;20;13;24;6;18;20;5
4;Male;36;Bachelor's degree;Undergraduate degree (BA/BSc/other);Scientific or Technical Services;No;Yes;Yes;United States;25;32;28;30;29;63;18;28;41;41;42;18;12;9;13;24;6;13;5;10
7;Male;26;Bachelor's degree;Secondary school/GCSE;Student;Yes;No;No;Serbia;20;25;26;33;27;62;28;26;37;36;25;6;12;17;12;21;18;11;20;11
8;Female;51;Bachelor's degree;Undergraduate degree (BA/BSc/other);Homemaker;No;No;No;United Kingdom;23;27;26;35;22;59;25;47;37;37;43;18;14;11;13;15;15;15;15;15
9;Male;20;Vocational/technical school (2 year);College/A levels;Student;Yes;Yes;Yes;United Kingdom;20;28;27;35;28;66;26;23;31;30;35;19;14;11;10;21;17;18;11;14
10;Female;45;Vocational/technical school (2 year);College/A levels;Homemaker;No;No;Yes;United Kingdom;18;29;25;33;19;53;45;23;24;34;34;8;10;8;11;20;20;17;10;13
12;Female;33;Vocational/technical school (2 year);Undergraduate degree (BA/BSc/other);Other;No;No;No;United Kingdom;21;28;26;35;17;54;21;34;22;40;40;11;13;8;9;18;14;17;12;9
13;Male;22;High school ore equivalent;College/A levels;Health Care and Social Assistance;Yes;No;No;Bulgaria;25;28;26;31;32;65;24;35;42;36;30;17;16;19;10;16;22;10;10;20
14;Male;21;Professional degree (MD, JD, etc.);College/A levels;Scientific or Technical Services;Yes;No;No;Poland;22;33;29;27;27;59;21;40;41;33;38;17;10;15;11;20;11;11;11;12
15;Male;29;Master's degree;Graduate degree (MA/MSc/MPhil/other);Other;No;No;No;Portugal;20;29;26;31;18;51;19;43;44;39;42;16;16;10;11;21;17;17;14;14
16;Male;23;Professional degree (MD, JD, etc.);Undergraduate degree (BA/BSc/other);Student;Yes;No;Yes;Spain;19;33;32;28;26;62;14;30;44;42;38;14;14;16;11;24;18;22;6;9
18;Male;21;Bachelor's degree;College/A levels;Student;Yes;No;Yes;Spain;19;26;28;39;24;67;18;34;40;38;35;15;15;19;12;23;12;11;17;13
19;Female;57;Master's degree;Graduate degree (MA/MSc/MPhil/other);Arts, Entertainment;No;No;No;United Kingdom;26;28;20;30;18;44;27;29;35;38;32;12;14;12;12;20;13;13;12;15
20;Female;27;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;No;Yes;Yes;United States;25;34;23;30;16;45;28;32;41;43;32;18;12;9;12;20;12;15;16;11
21;Male;35;Master's degree;Graduate degree (MA/MSc/MPhil/other);Telecommunications;No;Yes;Yes;South Africa;22;31;24;28;20;48;11;39;39;37;40;17;14;16;11;20;13;14;10;16
22;Female;26;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;Yes;Yes;Yes;Mauritius;18;26;28;33;20;57;26;23;48;23;28;15;13;14;13;24;20;23;24;12
23;Male;39;Bachelor's degree;Undergraduate degree (BA/BSc/other);Government and Public Administration;No;No;No;Bosnia and Herzegovina;20;28;26;33;24;59;35;23;34;35;26;16;11;13;7;20;15;18;16;16
24;Female;26;Master's degree;Graduate degree (MA/MSc/MPhil/other);Arts, Entertainment;No;No;No;Netherlands;20;29;22;29;13;40;36;25;40;36;26;11;14;15;12;19;17;20;15;11
25;Female;27;Master's degree;Undergraduate degree (BA/BSc/other);Student;Yes;No;Yes;Netherlands;23;31;22;29;17;44;33;16;45;47;35;17;13;10;11;24;13;24;10;5
26;Male;23;High school ore equivalent;Secondary school/GCSE;Student;No;No;No;Portugal;20;26;27;37;24;64;17;34;33;39;34;18;11;17;11;20;16;19;18;12
28;Female;22;Bachelor's degree;College/A levels;Finance and Insurance;Yes;Yes;Yes;India;24;38;29;21;23;49;24;36;32;33;36;11;13;16;10;17;19;19;16;15
29;Male;31;High school ore equivalent;College/A levels;Unempolyed;Yes;Yes;Yes;Serbia;23;30;28;36;27;67;33;22;27;34;19;10;13;12;7;15;15;19;17;14
31;Female;16;High school ore equivalent;Secondary school/GCSE;Student;Yes;No;No;Cambodia;23;34;22;26;19;43;40;32;41;30;30;11;15;10;4;19;13;21;11;11
32;Female;39;High school ore equivalent;Secondary school/GCSE;Unempolyed;No;No;Yes;Italy;19;29;23;29;18;46;35;10;39;31;24;8;18;10;11;19;19;13;19;11
35;Female;20;Bachelor's degree;College/A levels;Arts, Entertainment;Yes;No;No;United Kingdom;24;28;19;29;19;43;33;33;30;35;33;16;14;11;12;20;11;20;17;13
36;Male;21;Bachelor's degree;Undergraduate degree (BA/BSc/other);Student;Yes;No;No;United Kingdom;25;38;29;27;22;54;40;21;30;34;21;17;13;14;9;11;20;19;20;15
37;Female;20;Bachelor's degree;Undergraduate degree (BA/BSc/other);Student;Yes;No;No;Romania;23;29;21;31;18;46;33;22;29;35;30;12;13;14;8;17;16;20;19;14
39;Male;20;Bachelor's degree;Undergraduate degree (BA/BSc/other);Student;Yes;Yes;Yes;Netherlands;24;31;24;30;21;51;22;30;33;36;33;17;13;15;9;20;16;18;15;13
40;Male;22;High school ore equivalent;College/A levels;Student;Yes;Yes;Yes;Greece;20;27;25;32;19;52;21;40;35;34;37;16;14;13;13;22;16;19;10;16
41;Male;20;Bachelor's degree;College/A levels;Transportation and Warehousing;Yes;Yes;Yes;Romania;20;28;28;35;21;60;22;34;38;37;35;11;14;16;15;25;16;22;13;16
43;Male;26;Bachelor's degree;Undergraduate degree (BA/BSc/other);Student;Yes;Yes;Yes;Philippines;23;29;22;31;19;48;30;25;33;32;30;19;11;14;10;20;11;19;18;16
46;Male;40;Vocational/technical school (2 year);Undergraduate degree (BA/BSc/other);Construction;No;No;No;Bosnia and Herzegovina;23;30;26;33;23;58;26;37;39;31;43;7;12;13;11;22;9;18;11;5
47;Female;25;High school ore equivalent;Secondary school/GCSE;Unempolyed;No;No;No;United Kingdom;18;28;29;33;18;56;31;18;31;42;35;10;12;11;12;24;13;16;8;9
48;Male;39;Bachelor's degree;College/A levels;Transportation and Warehousing;No;No;Yes;Portugal;23;25;18;26;21;41;19;39;33;42;38;17;15;10;11;19;16;15;11;13
49;Male;26;Professional degree (MD, JD, etc.);Graduate degree (MA/MSc/MPhil/other);Scientific or Technical Services;No;Yes;Yes;Croatia;18;32;26;26;17;45;35;35;38;26;25;16;14;14;8;18;13;10;17;16
50;Male;34;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;No;Yes;Yes;United States;34;42;23;21;17;37;36;13;46;34;20;9;16;16;8;10;19;9;15;16
51;Female;46;High school ore equivalent;College/A levels;Government and Public Administration;No;No;No;United Kingdom;26;35;22;23;21;42;22;38;32;42;24;18;13;12;9;22;15;24;18;11
52;Male;24;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;No;Yes;N/A;Canada;25;29;28;34;33;71;10;41;37;44;50;20;16;17;15;25;16;15;5;6
53;Male;21;Bachelor's degree;Doctorate degree (PhD/MD/other);Software;Yes;Yes;Yes;Vietnam;22;30;30;34;34;74;24;37;35;32;35;17;16;14;12;20;20;14;15;14
54;Male;21;High school ore equivalent;College/A levels;Unempolyed;No;No;Yes;Brazil;22;36;28;25;19;48;25;14;24;36;24;11;14;11;6;22;9;12;8;6
55;Male;21;Professional degree (MD, JD, etc.);Undergraduate degree (BA/BSc/other);Manufacturing;Yes;No;Yes;Indonesia;25;29;27;34;31;68;26;28;33;35;33;7;12;13;9;22;18;18;16;19
56;Female;24;Bachelor's degree;Undergraduate degree (BA/BSc/other);Homemaker;No;No;Yes;Malaysia;18;26;27;34;27;64;29;29;34;30;32;10;9;9;11;18;18;17;10;14
57;Female;28;Doctoral degree;Doctorate degree (PhD/MD/other);Education;No;No;No;Canada;21;25;22;34;21;53;40;34;40;37;34;12;13;10;12;25;17;17;18;17
59;Male;19;Bachelor's degree;College/A levels;Software;Yes;Yes;Yes;United Kingdom;28;31;24;29;26;55;17;27;40;37;36;13;13;15;11;22;19;18;12;15
60;Male;20;Bachelor's degree;Undergraduate degree (BA/BSc/other);Student;Yes;Yes;Yes;Malaysia;20;30;29;36;17;58;34;25;42;39;38;19;14;18;7;25;19;18;23;13
62;Male;27;Master's degree;Graduate degree (MA/MSc/MPhil/other);Manufacturing;No;Yes;No;Serbia;24;34;23;30;18;47;31;31;30;32;28;12;13;17;9;15;19;20;19;15
63;Female;32;Vocational/technical school (2 year);College/A levels;Finance and Insurance;No;No;Yes;United Kingdom;23;29;23;29;21;49;37;42;34;38;33;18;14;11;13;21;14;20;10;14
64;Female;35;Vocational/technical school (2 year);College/A levels;Software;No;No;No;United Kingdom;20;26;29;35;32;72;39;17;46;42;28;12;16;10;13;19;14;23;11;15
65;Male;21;Bachelor's degree;Secondary school/GCSE;Student;Yes;No;Yes;Latvia;21;32;27;27;21;51;43;10;20;44;29;4;16;17;6;25;9;22;8;5
66;Female;20;Bachelor's degree;College/A levels;Other;Yes;No;No;United States;20;28;24;31;22;53;42;30;36;25;31;14;14;14;8;20;14;23;20;10
67;Female;49;High school ore equivalent;College/A levels;Health Care and Social Assistance;No;No;No;;28;32;20;24;19;39;32;29;33;38;28;19;13;14;14;16;21;19;21;24
68;Female;28;Master's degree;Graduate degree (MA/MSc/MPhil/other);Government and Public Administration;No;No;No;Morocco;19;23;29;39;30;74;27;20;29;41;43;15;15;7;15;25;17;17;6;5
69;Male;21;Bachelor's degree;College/A levels;Software;Yes;Yes;Yes;Spain;24;36;28;25;23;52;19;28;43;42;32;16;13;17;12;17;19;19;15;19
70;Male;25;Professional degree (MD, JD, etc.);Undergraduate degree (BA/BSc/other);Student;Yes;No;Yes;Argentina;29;32;19;25;22;42;19;24;40;37;34;7;13;13;9;19;15;15;12;10
71;Male;31;Master's degree;Graduate degree (MA/MSc/MPhil/other);Finance and Insurance;No;No;Yes;India;17;24;24;30;30;60;20;35;36;40;38;18;12;17;13;22;18;19;11;18
72;Male;41;Bachelor's degree;Undergraduate degree (BA/BSc/other);Scientific or Technical Services;No;No;No;;20;24;28;38;27;69;17;33;38;42;37;20;12;10;7;25;15;12;5;11
73;Male;29;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;Yes;Yes;Yes;United Kingdom;21;28;28;34;21;59;22;39;34;31;36;19;13;15;14;17;19;15;10;18
74;Male;21;High school ore equivalent;Secondary school/GCSE;Student;Yes;No;No;Spain;15;31;32;30;21;59;23;25;40;35;25;5;15;18;6;20;15;15;15;13
78;Female;45;Vocational/technical school (2 year);College/A levels;Homemaker;No;No;No;United Kingdom;22;28;22;28;17;43;22;26;35;46;43;20;15;14;13;25;25;19;5;18
79;Female;30;Master's degree;Graduate degree (MA/MSc/MPhil/other);Health Care and Social Assistance;Yes;No;No;Spain;22;29;23;33;23;55;26;32;31;30;25;14;17;22;11;21;19;21;17;22
80;Female;24;Bachelor's degree;Secondary school/GCSE;Student;Yes;No;No;South Africa;26;34;23;29;15;43;40;24;39;34;28;13;15;13;9;24;12;20;18;8
82;Male;22;High school ore equivalent;Undergraduate degree (BA/BSc/other);Unempolyed;No;No;Yes;Brazil;24;31;23;29;14;42;17;37;45;37;44;18;13;12;10;25;18;5;8;6
83;Female;25;Other;Undergraduate degree (BA/BSc/other);Software;No;No;Yes;United Kingdom;22;33;29;26;22;53;21;28;41;32;39;20;15;15;12;23;17;20;10;13
89;Female;36;Bachelor's degree;Graduate degree (MA/MSc/MPhil/other);Scientific or Technical Services;No;No;No;Spain;24;30;24;32;22;54;28;23;39;37;34;17;12;12;9;22;15;20;14;14
105;Male;31;High school ore equivalent;College/A levels;Transportation and Warehousing;No;No;Yes;United States;22;37;34;28;28;66;27;35;32;37;33;16;16;13;15;18;14;18;15;13
135;Female;26;Master's degree;Graduate degree (MA/MSc/MPhil/other);Unempolyed;No;No;No;Belgium;20;29;28;35;19;58;34;12;37;43;37;6;13;13;8;24;17;24;9;8
138;Female;26;Other;College/A levels;Homemaker;No;No;No;United Kingdom;22;28;26;34;21;57;35;38;37;34;40;14;13;14;9;24;20;22;10;12
139;Male;29;Master's degree;Graduate degree (MA/MSc/MPhil/other);Finance and Insurance;No;No;Yes;Germany;13;23;24;39;13;52;22;37;34;34;38;20;12;15;10;20;17;18;12;10
140;Female;21;Other;College/A levels;Student;Yes;No;No;United Kingdom;24;31;27;32;20;55;40;17;32;33;38;16;14;16;9;19;13;21;21;11
141;Female;36;Bachelor's degree;Undergraduate degree (BA/BSc/other);Education;No;No;No;United Kingdom;20;26;23;30;18;47;34;41;38;33;25;15;17;14;12;12;18;22;20;21
142;Male;26;Bachelor's degree;Undergraduate degree (BA/BSc/other);Finance and Insurance;No;No;No;United States;23;30;25;32;17;50;33;15;27;33;27;5;15;18;9;18;12;15;22;10
143;Male;23;Bachelor's degree;Undergraduate degree (BA/BSc/other);Telecommunications;Yes;Yes;Yes;Italy;23;33;29;31;28;64;30;26;34;33;28;13;12;10;10;21;17;21;13;15
144;Female;26;Bachelor's degree;Undergraduate degree (BA/BSc/other);Unempolyed;No;No;No;United Kingdom;21;29;27;31;21;55;25;30;47;42;42;18;14;10;12;24;25;25;19;8
145;Male;25;High school ore equivalent;College/A levels;Student;Yes;No;No;Germany;31;35;22;24;20;42;45;28;48;22;23;9;13;19;14;18;25;21;25;25
146;Male;21;Bachelor's degree;Undergraduate degree (BA/BSc/other);Health Care and Social Assistance;Yes;No;Yes;United States;20;28;24;33;17;50;25;28;27;39;39;19;16;14;10;22;20;18;11;18
147;Male;41;Vocational/technical school (2 year);College/A levels;Arts, Entertainment;No;Yes;Yes;United States;32;36;22;24;19;41;21;42;49;35;30;18;17;11;11;19;9;12;10;11
148;Male;34;Master's degree;Graduate degree (MA/MSc/MPhil/other);Education;No;No;No;Brazil;18;27;28;35;21;60;36;22;38;41;29;17;13;15;11;25;10;25;25;12
149;Male;35;High school ore equivalent;College/A levels;Unempolyed;No;No;No;United Kingdom;21;23;23;34;25;58;48;37;44;31;30;8;15;12;15;19;15;14;14;15
150;Female;22;High school ore equivalent;Secondary school/GCSE;Information;Yes;Yes;Yes;Hungary;25;30;19;28;13;36;30;29;43;26;28;8;13;9;8;22;18;22;24;11
151;Female;27;Bachelor's degree;Undergraduate degree (BA/BSc/other);Other;No;No;No;United Kingdom;19;26;24;33;20;53;27;21;37;43;43;14;14;14;12;24;24;24;6;18
152;Female;39;Bachelor's degree;Undergraduate degree (BA/BSc/other);Other;No;No;Yes;United Kingdom;23;30;25;29;22;52;20;41;36;43;43;19;15;13;13;21;18;9;7;12
153;Female;31;Vocational/technical school (2 year);Undergraduate degree (BA/BSc/other);Hotel and Food Services;No;No;Yes;United States;22;30;27;33;23;59;25;32;47;42;33;15;11;10;9;21;16;5;20;10
154;Male;30;Professional degree (MD, JD, etc.);Doctorate degree (PhD/MD/other);Student;Yes;No;No;United States;24;30;26;29;21;52;18;43;37;30;40;18;14;15;10;19;21;11;13;20
155;Female;40;Master's degree;Graduate degree (MA/MSc/MPhil/other);Government and Public Administration;No;No;No;United Kingdom;19;25;25;35;24;60;39;21;35;31;37;8;15;12;9;22;16;11;17;11
156;Male;24;High school ore equivalent;Secondary school/GCSE;Student;Yes;No;No;Portugal;23;31;29;40;20;65;27;45;33;40;30;15;13;12;13;16;23;21;18;21
157;Male;61;Grammar school;No formal qualifications;Other;No;No;No;United Kingdom;18;28;31;40;26;73;24;19;15;33;43;12;15;11;13;13;20;24;7;7
158;Female;20;Professional degree (MD, JD, etc.);Graduate degree (MA/MSc/MPhil/other);Student;Yes;No;Yes;Peru;24;31;23;29;23;51;35;23;43;26;30;5;10;12;9;19;16;19;22;15
159;Female;31;Bachelor's degree;Undergraduate degree (BA/BSc/other);Homemaker;No;No;No;Indonesia;19;32;24;24;17;41;31;20;29;36;36;4;13;14;9;17;19;11;10;15
160;Male;20;High school ore equivalent;Secondary school/GCSE;Student;Yes;No;Yes;Poland;20;32;29;30;15;50;23;21;35;38;39;15;16;9;15;21;12;19;7;8
161;Male;21;Doctoral degree;Doctorate degree (PhD/MD/other);Other;No;Yes;Yes;Vietnam;25;28;23;30;21;50;31;23;33;33;29;14;12;13;11;22;21;18;17;14
163;Male;30;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;Yes;Yes;Yes;Canada;21;28;26;32;22;56;31;33;43;36;33;19;14;12;11;20;16;15;15;10
164;Female;24;Bachelor's degree;Undergraduate degree (BA/BSc/other);Scientific or Technical Services;No;No;Yes;Canada;18;24;26;35;26;63;33;23;41;38;37;7;11;16;12;21;16;18;15;8
165;Male;24;Bachelor's degree;Undergraduate degree (BA/BSc/other);Manufacturing;No;No;Yes;United States;22;25;22;31;19;48;20;40;40;34;35;16;15;12;12;21;11;16;10;10
166;Male;33;Bachelor's degree;College/A levels;Unempolyed;No;No;Yes;Brazil;21;27;23;33;23;55;23;31;42;37;32;17;15;12;14;13;24;14;22;16
167;Female;25;Master's degree;Undergraduate degree (BA/BSc/other);Scientific or Technical Services;Yes;Yes;Yes;Romania;23;29;30;35;31;72;27;48;42;31;47;9;11;11;14;24;8;15;6;6
169;Male;36;Bachelor's degree;Undergraduate degree (BA/BSc/other);Information;No;Yes;Yes;United Kingdom;25;32;23;25;18;42;25;20;36;37;24;11;14;14;11;20;19;16;23;20
171;Male;26;Master's degree;Graduate degree (MA/MSc/MPhil/other);Student;No;No;No;India;18;35;33;24;26;59;20;36;45;36;37;20;13;15;13;17;21;16;13;16
172;Male;27;Professional degree (MD, JD, etc.);Graduate degree (MA/MSc/MPhil/other);Student;Yes;No;Yes;United Kingdom;26;32;24;27;22;49;26;25;42;36;31;11;11;18;9;20;13;19;15;10
175;Male;23;Bachelor's degree;Undergraduate degree (BA/BSc/other);Health Care and Social Assistance;Yes;Yes;Yes;India;24;28;19;26;28;49;37;28;36;40;34;16;9;15;9;20;21;12;13;13
176;Male;21;Bachelor's degree;College/A levels;Software;Yes;Yes;Yes;Indonesia;19;33;31;26;27;60;25;20;33;41;32;11;18;12;14;22;20;16;18;16