subject;D_Gender;D_Age;D_ComputerScienceBackground;etuhcarap;AbWxCdYz;hagrqqqqthhbbe;a6a4ba8a;"	thedzfhg123";11Nd1sPPut8ble99;F@m1Ly07%;bicycles-peaches-cold;ocean4 Size !beer Car;AatIcs,ijayl-t;1qaz2wsx3edc;p@ssw0rd;ieatkale88;B5_Neuroticism;B5_Extraversion;B5_Openness;B5_Agreeableness;B5_Conscientiousness
3;Female;29;No;5;3;3;5;4;6;7;7;6;6;6;1;2;18;39;47;47;40
4;Male;36;Yes;6;2;1;1;2;5;7;4;7;3;5;1;1;18;28;41;41;42
7;Male;26;No;1;5;1;2;2;7;7;1;7;3;2;1;2;28;26;37;36;25
8;Female;51;No;5;3;4;3;3;6;7;4;5;6;6;2;7;25;47;37;37;43
9;Male;20;Yes;2;4;5;7;5;6;6;3;7;3;4;4;4;26;23;31;30;35
10;Female;45;No;6;5;5;5;4;7;7;5;7;6;4;1;2;45;23;24;34;34
12;Female;33;No;7;3;7;7;6;7;6;7;6;6;6;2;7;21;34;22;40;40
13;Male;22;No;4;5;7;5;7;4;6;6;6;6;4;5;7;24;35;42;36;30
14;Male;21;No;1;2;2;4;5;3;3;5;5;4;5;2;2;21;40;41;33;38
15;Male;29;No;5;2;4;2;4;7;6;5;6;7;7;1;5;19;43;44;39;42
16;Male;23;No;6;4;4;5;5;7;7;5;6;7;5;2;5;14;30;44;42;38
18;Male;21;No;5;4;4;3;4;5;6;5;3;6;3;2;3;18;34;40;38;35
19;Female;57;No;5;4;7;7;3;7;3;4;3;6;7;5;3;27;29;35;38;32
20;Female;27;Yes;1;2;5;4;5;4;4;2;7;3;4;1;5;28;32;41;43;32
21;Male;35;Yes;4;3;5;3;3;6;3;5;7;6;6;1;4;11;39;39;37;40
22;Female;26;Yes;6;5;1;2;5;6;6;1;6;6;2;1;5;26;23;48;23;28
23;Male;39;No;6;2;2;5;4;4;3;2;4;4;4;5;4;35;23;34;35;26
24;Female;26;No;2;4;5;7;4;7;7;2;3;3;7;1;2;36;25;40;36;26
25;Female;27;No;6;7;2;4;4;3;4;2;5;6;3;1;2;33;16;45;47;35
26;Male;23;No;2;3;2;4;4;3;7;5;6;6;3;1;5;17;34;33;39;34
28;Female;22;Yes;2;4;5;2;2;4;7;2;5;6;4;1;4;24;36;32;33;36
29;Male;31;Yes;1;5;1;3;5;3;6;4;6;3;3;7;4;33;22;27;34;19
31;Female;16;No;6;4;5;1;2;6;7;5;4;7;1;5;3;40;32;41;30;30
32;Female;39;No;5;3;7;3;3;6;6;3;6;6;6;1;3;35;10;39;31;24
35;Female;20;No;6;5;3;3;4;4;4;4;5;4;3;1;2;33;33;30;35;33
36;Male;21;No;4;4;5;4;7;3;6;6;7;7;3;2;7;40;21;30;34;21
37;Female;20;No;6;6;5;4;7;6;6;3;3;7;6;5;4;33;22;29;35;30
39;Male;20;Yes;6;4;4;3;4;7;7;5;7;7;7;2;4;22;30;33;36;33
40;Male;22;Yes;2;5;5;7;4;7;5;2;3;6;4;1;4;21;40;35;34;37
41;Male;20;Yes;5;3;4;5;4;3;7;5;6;6;3;1;5;22;34;38;37;35
43;Male;26;Yes;2;2;5;3;4;6;5;2;4;3;7;1;5;30;25;33;32;30
46;Male;40;No;2;4;3;2;4;7;7;5;7;6;3;1;5;26;37;39;31;43
47;Female;25;No;6;7;5;3;4;3;4;1;3;3;4;1;4;31;18;31;42;35
48;Male;39;No;5;1;1;7;1;7;3;6;6;7;7;1;4;19;39;33;42;38
49;Male;26;Yes;4;6;3;7;3;7;6;4;5;6;7;2;7;35;35;38;26;25
50;Male;34;Yes;4;3;4;4;7;6;7;3;6;6;6;1;3;36;13;46;34;20
51;Female;46;No;2;1;4;3;7;7;3;6;6;6;4;1;2;22;38;32;42;24
52;Male;24;Yes;7;5;2;5;5;7;6;7;6;6;6;3;4;10;41;37;44;50
53;Male;21;Yes;5;3;5;3;3;7;6;7;6;6;3;6;3;24;37;35;32;35
54;Male;21;No;6;7;4;2;3;6;2;1;6;6;7;1;2;25;14;24;36;24
55;Male;21;No;2;3;3;3;7;7;6;7;6;6;7;7;7;26;28;33;35;33
56;Female;24;No;1;2;2;2;2;5;7;1;7;5;3;5;2;29;29;34;30;32
57;Female;28;No;2;2;2;6;2;6;6;1;1;6;6;1;4;40;34;40;37;34
59;Male;19;Yes;6;5;4;5;5;3;4;7;7;5;4;1;2;17;27;40;37;36
60;Male;20;Yes;2;4;2;4;5;6;3;1;4;6;3;1;2;34;25;42;39;38
62;Male;27;Yes;2;7;6;4;7;4;4;3;3;3;7;3;4;31;31;30;32;28
63;Female;32;No;5;4;3;3;4;6;6;7;7;6;7;2;7;37;42;34;38;33
64;Female;35;No;1;5;5;5;4;7;6;5;4;3;5;7;5;39;17;46;42;28
65;Male;21;No;7;3;3;4;4;6;6;7;6;6;4;3;7;43;10;20;44;29
66;Female;20;No;5;7;3;3;3;3;3;3;4;3;3;5;5;42;30;36;25;31
67;Female;49;No;2;5;2;4;6;6;5;4;5;6;7;1;1;32;29;33;38;28
68;Female;28;No;1;4;2;5;3;7;6;5;6;7;7;7;2;27;20;29;41;43
69;Male;21;Yes;1;1;1;1;1;2;4;5;7;3;1;1;1;19;28;43;42;32
70;Male;25;No;2;2;4;5;5;5;5;4;3;5;4;2;1;19;24;40;37;34
71;Male;31;No;2;7;3;3;3;7;6;3;6;7;3;6;3;20;35;36;40;38
72;Male;41;No;1;2;1;5;5;3;7;4;7;3;4;2;4;17;33;38;42;37
73;Male;29;Yes;6;2;2;2;2;3;6;1;4;3;5;1;2;22;39;34;31;36
74;Male;21;No;5;7;5;7;4;6;6;2;6;7;7;1;7;23;25;40;35;25
78;Female;45;No;3;4;7;4;7;3;7;5;4;7;7;1;7;22;26;35;46;43
79;Female;30;No;5;7;4;7;3;5;6;4;7;4;3;5;3;26;32;31;30;25
80;Female;24;No;2;4;4;3;4;6;3;4;3;6;7;2;4;40;24;39;34;28
82;Male;22;No;5;3;4;4;3;7;3;5;7;7;7;2;4;17;37;45;37;44
83;Female;25;No;2;5;2;5;5;3;6;5;7;3;4;1;5;21;28;41;32;39
89;Female;36;No;2;3;5;3;3;6;6;4;6;6;7;2;4;28;23;39;37;34
105;Male;31;No;6;2;2;5;2;4;6;5;7;3;4;1;2;27;35;32;37;33
135;Female;26;No;2;7;4;6;7;6;4;5;3;6;6;1;3;34;12;37;43;37
138;Female;26;No;6;2;3;5;7;6;7;4;6;3;3;2;2;35;38;37;34;40
139;Male;29;No;1;2;1;4;5;3;3;1;3;5;5;1;1;22;37;34;34;38
140;Female;21;No;4;7;3;7;7;6;6;3;6;6;6;4;4;40;17;32;33;38
141;Female;36;No;2;2;5;5;3;7;4;4;4;7;3;1;4;34;41;38;33;25
142;Male;26;No;2;2;5;5;4;5;3;4;7;4;4;1;5;33;15;27;33;27
143;Male;23;Yes;6;2;2;2;5;7;6;4;6;7;2;1;5;30;26;34;33;28
144;Female;26;No;4;4;4;4;4;7;7;2;3;7;7;1;2;25;30;47;42;42
145;Male;25;No;1;1;1;4;1;3;7;4;6;6;2;1;5;45;28;48;22;23
146;Male;21;No;5;5;3;3;3;6;6;7;7;6;6;5;3;25;28;27;39;39
147;Male;41;Yes;2;5;3;5;3;7;4;5;6;7;3;1;2;21;42;49;35;30
148;Male;34;No;7;3;3;7;6;6;6;6;6;6;6;5;6;36;22;38;41;29
149;Male;35;No;6;2;2;2;2;5;5;1;5;4;3;1;2;48;37;44;31;30
150;Female;22;Yes;2;4;2;2;7;6;1;1;1;6;4;1;2;30;29;43;26;28
151;Female;27;No;4;7;7;3;3;6;3;4;3;6;3;2;3;27;21;37;43;43
152;Female;39;No;6;4;2;2;4;3;3;5;4;3;5;1;5;20;41;36;43;43
153;Female;31;No;2;4;5;5;4;6;7;5;3;3;5;2;5;25;32;47;42;33
154;Male;30;No;2;2;5;5;4;4;7;2;5;6;4;1;2;18;43;37;30;40
155;Female;40;No;6;4;2;4;3;7;4;3;4;7;4;2;4;39;21;35;31;37
156;Male;24;No;3;6;6;6;6;6;6;6;6;6;6;4;6;27;45;33;40;30
157;Male;61;No;5;1;5;7;3;6;6;1;6;6;6;1;3;24;19;15;33;43
158;Female;20;No;2;2;5;5;5;3;5;5;4;4;4;2;5;35;23;43;26;30
159;Female;31;No;5;7;7;4;7;6;5;7;3;7;4;2;5;31;20;29;36;36
160;Male;20;No;4;3;4;3;3;6;3;2;7;6;7;1;3;23;21;35;38;39
161;Male;21;Yes;6;5;2;5;3;3;5;3;7;7;7;1;2;31;23;33;33;29
163;Male;30;Yes;1;1;1;2;2;5;3;2;5;3;2;1;1;31;33;43;36;33
164;Female;24;No;6;5;7;4;5;4;7;2;3;3;6;5;4;33;23;41;38;37
165;Male;24;No;6;5;4;3;5;7;4;2;5;6;3;1;2;20;40;40;34;35
166;Male;33;No;2;2;3;5;3;7;3;4;7;3;3;3;5;23;31;42;37;32
167;Female;25;Yes;1;2;1;4;5;7;6;3;6;6;3;7;5;27;48;42;31;47
169;Male;36;Yes;5;2;7;3;5;6;7;2;5;6;2;1;3;25;20;36;37;24
171;Male;26;No;6;7;1;1;7;3;6;3;3;7;4;1;4;20;36;45;36;37
172;Male;27;No;5;3;7;5;7;6;7;6;6;6;6;2;3;26;25;42;36;31
175;Male;23;Yes;4;5;4;3;5;3;6;4;6;7;6;4;3;37;28;36;40;34
176;Male;21;Yes;5;7;3;6;3;6;6;3;6;6;2;5;3;25;20;33;41;32